# HELP response_time Milliseconds in total to for UniView Server to respond the client requests.
# TYPE response_time histogram
response_time_sum{method="GetPatient"} +Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf0.5342
response_time_bucket{method="Logout",le="6500"} 0
response_time_bucket{method="Logout",le="7000"} 223
response_time_bucket{method="Logout",le="7500"} 272
response_time_bucket{method="Logout",le="8000"} 275
response_time_bucket{method="Logout",le="8500"} 276
response_time_bucket{method="Logout",le="9000"} 276
response_time_bucket{method="Logout",le="9500"} 276
response_time_bucket{method="Logout",le="10000"} 276
response_time_bucket{method="Logout",le="15000"} 276
response_time_bucket{method="Logout",le="30000"} 276
response_time_bucket{method="Logout",le="+Inf"} 276
response_time_sum{method="GetWorklistTree"} 24150000.5342
response_time_count{method="GetWorklistTree"} 173
response_time_bucket{method="GetWorklistTree",le="1"} 0
response_time_bucket{method="GetWorklistTree",le="2"} 0
response_time_bucket{method="GetWorklistTree",le="3"} 0
response_time_bucket{method="GetWorklistTree",le="4"} 0
response_time_bucket{method="GetWorklistTree",le="5"} 0
response_time_bucket{method="GetWorklistTree",le="6"} 0
response_time_bucket{method="GetWorklistTree",le="7"} 0
response_time_bucket{method="GetWorklistTree",le="8"} 0
response_time_bucket{method="GetWorklistTree",le="9"} 0
response_time_bucket{method="GetWorklistTree",le="10"} 0
response_time_bucket{method="GetWorklistTree",le="20"} 0
response_time_bucket{method="GetWorklistTree",le="30"} 0
response_time_bucket{method="GetWorklistTree",le="40"} 0
response_time_bucket{method="GetWorklistTree",le="50"} 0
response_time_bucket{method="GetWorklistTree",le="60"} 0
response_time_bucket{method="GetWorklistTree",le="70"} 0
response_time_bucket{method="GetWorklistTree",le="80"} 0
response_time_bucket{method="GetWorklistTree",le="90"} 0
response_time_bucket{method="GetWorklistTree",le="100"} 0
response_time_bucket{method="GetWorklistTree",le="200"} 0
response_time_bucket{method="GetWorklistTree",le="300"} 0
response_time_bucket{method="GetWorklistTree",le="400"} 0
response_time_bucket{method="GetWorklistTree",le="500"} 0
response_time_bucket{method="GetWorklistTree",le="600"} 0
response_time_bucket{method="GetWorklistTree",le="700"} 0
response_time_bucket{method="GetWorklistTree",le="800"} 0
response_time_bucket{method="GetWorklistTree",le="900"} 0
response_time_bucket{method="GetWorklistTree",le="1000"} 0
response_time_bucket{method="GetWorklistTree",le="1500"} 0
response_time_bucket{method="GetWorklistTree",le="2000"} 0
response_time_bucket{method="GetWorklistTree",le="2500"} 0
response_time_bucket{method="GetWorklistTree",le="3000"} 0
response_time_bucket{method="GetWorklistTree",le="3500"} 0
response_time_bucket{method="GetWorklistTree",le="4000"} 0
response_time_bucket{method="GetWorklistTree",le="4500"} 0
response_time_bucket{method="GetWorklistTree",le="5000"} 0
response_time_bucket{method="GetWorklistTree",le="5500"} 0
response_time_bucket{method="GetWorklistTree",le="6000"} 0
response_time_bucket{method="GetWorklistTree",le="6500"} 0
response_time_bucket{method="GetWorklistTree",le="7000"} 0
response_time_bucket{method="GetWorklistTree",le="7500"} 0
response_time_bucket{method="GetWorklistTree",le="8000"} 0
response_time_bucket{method="GetWorklistTree",le="8500"} 0
response_time_bucket{method="GetWorklistTree",le="9000"} 0
response_time_bucket{method="GetWorklistTree",le="9500"} 0
response_time_bucket{method="GetWorklistTree",le="10000"} 0
response_time_bucket{method="GetWorklistTree",le="15000"} 103
response_time_bucket{method="GetWorklistTree",le="30000"} 132
response_time_bucket{method="GetWorklistTree",le="+Inf"} 173
response_time_sum{method="GetReportsAndThumbnails"} 1296000.5342
response_time_count{method="GetReportsAndThumbnails"} 241
response_time_bucket{method="GetReportsAndThumbnails",le="1"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="2"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="3"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="4"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="5"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="6"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="7"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="8"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="9"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="10"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="20"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="30"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="40"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="50"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="60"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="70"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="80"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="90"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="100"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="200"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="300"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="400"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="500"} 186
response_time_bucket{method="GetReportsAndThumbnails",le="600"} 235
response_time_bucket{method="GetReportsAndThumbnails",le="700"} 237
response_time_bucket{method="GetReportsAndThumbnails",le="800"} 237
response_time_bucket{method="GetReportsAndThumbnails",le="900"} 239
response_time_bucket{method="GetReportsAndThumbnails",le="1000"} 239
response_time_bucket{method="GetReportsAndThumbnails",le="1500"} 240
response_time_bucket{method="GetReportsAndThumbnails",le="2000"} 240
response_time_bucket{method="GetReportsAndThumbnails",le="2500"} 241
response_time_bucket{method="GetReportsAndThumbnails",le="3000"} 241
response_time_bucket{method="GetReportsAndThumbnails",le="3500"} 241
response_time_bucket{method="GetReportsAndThumbnails",le="4000"} 241
response_time_bucket{method="GetReportsAndThumbnails",le="4500"} 241
response_time_bucket{method="GetReportsAndThumbnails",le="5000"} 241
response_time_bucket{method="GetReportsAndThumbnails",le="5500"} 241
response_time_bucket{method="GetReportsAndThumbnails",le="6000"} 241
response_time_bucket{method="GetReportsAndThumbnails",le="6500"} 241
response_time_bucket{method="GetReportsAndThumbnails",le="7000"} 241
response_time_bucket{method="GetReportsAndThumbnails",le="7500"} 241
response_time_bucket{method="GetReportsAndThumbnails",le="8000"} 241
response_time_bucket{method="GetReportsAndThumbnails",le="8500"} 241
response_time_bucket{method="GetReportsAndThumbnails",le="9000"} 241
response_time_bucket{method="GetReportsAndThumbnails",le="9500"} 241
response_time_bucket{method="GetReportsAndThumbnails",le="10000"} 241
response_time_bucket{method="GetReportsAndThumbnails",le="15000"} 241
response_time_bucket{method="GetReportsAndThumbnails",le="30000"} 241
response_time_bucket{method="GetReportsAndThumbnails",le="+Inf"} 241
response_time_sum{method="GetPatientHistory"} 7965000.5342
response_time_count{method="GetPatientHistory"} 316
response_time_bucket{method="GetPatientHistory",le="1"} 0
response_time_bucket{method="GetPatientHistory",le="2"} 0
response_time_bucket{method="GetPatientHistory",le="3"} 0
response_time_bucket{method="GetPatientHistory",le="4"} 0
response_time_bucket{method="GetPatientHistory",le="5"} 0
response_time_bucket{method="GetPatientHistory",le="6"} 0
response_time_bucket{method="GetPatientHistory",le="7"} 0
response_time_bucket{method="GetPatientHistory",le="8"} 0
response_time_bucket{method="GetPatientHistory",le="9"} 0
response_time_bucket{method="GetPatientHistory",le="10"} 0
response_time_bucket{method="GetPatientHistory",le="20"} 0
response_time_bucket{method="GetPatientHistory",le="30"} 0
response_time_bucket{method="GetPatientHistory",le="40"} 0
response_time_bucket{method="GetPatientHistory",le="50"} 0
response_time_bucket{method="GetPatientHistory",le="60"} 0
response_time_bucket{method="GetPatientHistory",le="70"} 0
response_time_bucket{method="GetPatientHistory",le="80"} 0
response_time_bucket{method="GetPatientHistory",le="90"} 0
response_time_bucket{method="GetPatientHistory",le="100"} 0
response_time_bucket{method="GetPatientHistory",le="200"} 0
response_time_bucket{method="GetPatientHistory",le="300"} 0
response_time_bucket{method="GetPatientHistory",le="400"} 0
response_time_bucket{method="GetPatientHistory",le="500"} 0
response_time_bucket{method="GetPatientHistory",le="600"} 0
response_time_bucket{method="GetPatientHistory",le="700"} 0
response_time_bucket{method="GetPatientHistory",le="800"} 0
response_time_bucket{method="GetPatientHistory",le="900"} 0
response_time_bucket{method="GetPatientHistory",le="1000"} 0
response_time_bucket{method="GetPatientHistory",le="1500"} 0
response_time_bucket{method="GetPatientHistory",le="2000"} 0
response_time_bucket{method="GetPatientHistory",le="2500"} 308
response_time_bucket{method="GetPatientHistory",le="3000"} 311
response_time_bucket{method="GetPatientHistory",le="3500"} 316
response_time_bucket{method="GetPatientHistory",le="4000"} 316
response_time_bucket{method="GetPatientHistory",le="4500"} 316
response_time_bucket{method="GetPatientHistory",le="5000"} 316
response_time_bucket{method="GetPatientHistory",le="5500"} 316
response_time_bucket{method="GetPatientHistory",le="6000"} 316
response_time_bucket{method="GetPatientHistory",le="6500"} 316
response_time_bucket{method="GetPatientHistory",le="7000"} 316
response_time_bucket{method="GetPatientHistory",le="7500"} 316
response_time_bucket{method="GetPatientHistory",le="8000"} 316
response_time_bucket{method="GetPatientHistory",le="8500"} 316
response_time_bucket{method="GetPatientHistory",le="9000"} 316
response_time_bucket{method="GetPatientHistory",le="9500"} 316
response_time_bucket{method="GetPatientHistory",le="10000"} 316
response_time_bucket{method="GetPatientHistory",le="15000"} 316
response_time_bucket{method="GetPatientHistory",le="30000"} 316
response_time_bucket{method="GetPatientHistory",le="+Inf"} 316
response_time_sum{method="GetLanguage"} 333000000.5342
response_time_count{method="GetLanguage"} 1420
response_time_bucket{method="GetLanguage",le="1"} 0
response_time_bucket{method="GetLanguage",le="2"} 0
response_time_bucket{method="GetLanguage",le="3"} 0
response_time_bucket{method="GetLanguage",le="4"} 0
response_time_bucket{method="GetLanguage",le="5"} 0
response_time_bucket{method="GetLanguage",le="6"} 0
response_time_bucket{method="GetLanguage",le="7"} 0
response_time_bucket{method="GetLanguage",le="8"} 0
response_time_bucket{method="GetLanguage",le="9"} 0
response_time_bucket{method="GetLanguage",le="10"} 0
response_time_bucket{method="GetLanguage",le="20"} 0
response_time_bucket{method="GetLanguage",le="30"} 0
response_time_bucket{method="GetLanguage",le="40"} 0
response_time_bucket{method="GetLanguage",le="50"} 0
response_time_bucket{method="GetLanguage",le="60"} 0
response_time_bucket{method="GetLanguage",le="70"} 0
response_time_bucket{method="GetLanguage",le="80"} 0
response_time_bucket{method="GetLanguage",le="90"} 0
response_time_bucket{method="GetLanguage",le="100"} 0
response_time_bucket{method="GetLanguage",le="200"} 0
response_time_bucket{method="GetLanguage",le="300"} 0
response_time_bucket{method="GetLanguage",le="400"} 0
response_time_bucket{method="GetLanguage",le="500"} 0
response_time_bucket{method="GetLanguage",le="600"} 0
response_time_bucket{method="GetLanguage",le="700"} 0
response_time_bucket{method="GetLanguage",le="800"} 0
response_time_bucket{method="GetLanguage",le="900"} 0
response_time_bucket{method="GetLanguage",le="1000"} 0
response_time_bucket{method="GetLanguage",le="1500"} 0
response_time_bucket{method="GetLanguage",le="2000"} 0
response_time_bucket{method="GetLanguage",le="2500"} 0
response_time_bucket{method="GetLanguage",le="3000"} 0
response_time_bucket{method="GetLanguage",le="3500"} 0
response_time_bucket{method="GetLanguage",le="4000"} 0
response_time_bucket{method="GetLanguage",le="4500"} 0
response_time_bucket{method="GetLanguage",le="5000"} 0
response_time_bucket{method="GetLanguage",le="5500"} 0
response_time_bucket{method="GetLanguage",le="6000"} 0
response_time_bucket{method="GetLanguage",le="6500"} 0
response_time_bucket{method="GetLanguage",le="7000"} 0
response_time_bucket{method="GetLanguage",le="7500"} 0
response_time_bucket{method="GetLanguage",le="8000"} 0
response_time_bucket{method="GetLanguage",le="8500"} 0
response_time_bucket{method="GetLanguage",le="9000"} 0
response_time_bucket{method="GetLanguage",le="9500"} 0
response_time_bucket{method="GetLanguage",le="10000"} 0
response_time_bucket{method="GetLanguage",le="15000"} 0
response_time_bucket{method="GetLanguage",le="30000"} 1110
response_time_bucket{method="GetLanguage",le="+Inf"} 1420
response_time_sum{method="Logon"} 74150000.5342
response_time_count{method="Logon"} 1171
response_time_bucket{method="Logon",le="1"} 0
response_time_bucket{method="Logon",le="2"} 0
response_time_bucket{method="Logon",le="3"} 0
response_time_bucket{method="Logon",le="4"} 0
response_time_bucket{method="Logon",le="5"} 0
response_time_bucket{method="Logon",le="6"} 0
response_time_bucket{method="Logon",le="7"} 0
response_time_bucket{method="Logon",le="8"} 0
response_time_bucket{method="Logon",le="9"} 0
response_time_bucket{method="Logon",le="10"} 0
response_time_bucket{method="Logon",le="20"} 0
response_time_bucket{method="Logon",le="30"} 0
response_time_bucket{method="Logon",le="40"} 0
response_time_bucket{method="Logon",le="50"} 0
response_time_bucket{method="Logon",le="60"} 0
response_time_bucket{method="Logon",le="70"} 0
response_time_bucket{method="Logon",le="80"} 0
response_time_bucket{method="Logon",le="90"} 0
response_time_bucket{method="Logon",le="100"} 0
response_time_bucket{method="Logon",le="200"} 0
response_time_bucket{method="Logon",le="300"} 0
response_time_bucket{method="Logon",le="400"} 0
response_time_bucket{method="Logon",le="500"} 0
response_time_bucket{method="Logon",le="600"} 0
response_time_bucket{method="Logon",le="700"} 0
response_time_bucket{method="Logon",le="800"} 0
response_time_bucket{method="Logon",le="900"} 0
response_time_bucket{method="Logon",le="1000"} 0
response_time_bucket{method="Logon",le="1500"} 0
response_time_bucket{method="Logon",le="2000"} 0
response_time_bucket{method="Logon",le="2500"} 0
response_time_bucket{method="Logon",le="3000"} 0
response_time_bucket{method="Logon",le="3500"} 0
response_time_bucket{method="Logon",le="4000"} 0
response_time_bucket{method="Logon",le="4500"} 0
response_time_bucket{method="Logon",le="5000"} 0
response_time_bucket{method="Logon",le="5500"} 0
response_time_bucket{method="Logon",le="6000"} 815
response_time_bucket{method="Logon",le="6500"} 971
response_time_bucket{method="Logon",le="7000"} 1023
response_time_bucket{method="Logon",le="7500"} 1152
response_time_bucket{method="Logon",le="8000"} 1157
response_time_bucket{method="Logon",le="8500"} 1157
response_time_bucket{method="Logon",le="9000"} 1167
response_time_bucket{method="Logon",le="9500"} 1168
response_time_bucket{method="Logon",le="10000"} 1169
response_time_bucket{method="Logon",le="15000"} 1171
response_time_bucket{method="Logon",le="30000"} 1171
response_time_bucket{method="Logon",le="+Inf"} 1171
response_time_sum{method="Search"} 165360000.5342
response_time_count{method="Search"} 2121
response_time_bucket{method="Search",le="1"} 0
response_time_bucket{method="Search",le="2"} 0
response_time_bucket{method="Search",le="3"} 0
response_time_bucket{method="Search",le="4"} 0
response_time_bucket{method="Search",le="5"} 0
response_time_bucket{method="Search",le="6"} 0
response_time_bucket{method="Search",le="7"} 0
response_time_bucket{method="Search",le="8"} 0
response_time_bucket{method="Search",le="9"} 0
response_time_bucket{method="Search",le="10"} 0
response_time_bucket{method="Search",le="20"} 0
response_time_bucket{method="Search",le="30"} 0
response_time_bucket{method="Search",le="40"} 0
response_time_bucket{method="Search",le="50"} 0
response_time_bucket{method="Search",le="60"} 0
response_time_bucket{method="Search",le="70"} 0
response_time_bucket{method="Search",le="80"} 0
response_time_bucket{method="Search",le="90"} 0
response_time_bucket{method="Search",le="100"} 0
response_time_bucket{method="Search",le="200"} 0
response_time_bucket{method="Search",le="300"} 0
response_time_bucket{method="Search",le="400"} 0
response_time_bucket{method="Search",le="500"} 0
response_time_bucket{method="Search",le="600"} 0
response_time_bucket{method="Search",le="700"} 0
response_time_bucket{method="Search",le="800"} 0
response_time_bucket{method="Search",le="900"} 0
response_time_bucket{method="Search",le="1000"} 0
response_time_bucket{method="Search",le="1500"} 0
response_time_bucket{method="Search",le="2000"} 0
response_time_bucket{method="Search",le="2500"} 0
response_time_bucket{method="Search",le="3000"} 0
response_time_bucket{method="Search",le="3500"} 0
response_time_bucket{method="Search",le="4000"} 0
response_time_bucket{method="Search",le="4500"} 0
response_time_bucket{method="Search",le="5000"} 0
response_time_bucket{method="Search",le="5500"} 0
response_time_bucket{method="Search",le="6000"} 0
response_time_bucket{method="Search",le="6500"} 0
response_time_bucket{method="Search",le="7000"} 0
response_time_bucket{method="Search",le="7500"} 1775
response_time_bucket{method="Search",le="8000"} 1797
response_time_bucket{method="Search",le="8500"} 1886
response_time_bucket{method="Search",le="9000"} 2041
response_time_bucket{method="Search",le="9500"} 2099
response_time_bucket{method="Search",le="10000"} 2111
response_time_bucket{method="Search",le="15000"} 2112
response_time_bucket{method="Search",le="30000"} 2119
response_time_bucket{method="Search",le="+Inf"} 2121
response_time_sum{method="GetVersionInfo"} 13790000.5342
response_time_count{method="GetVersionInfo"} 861
response_time_bucket{method="GetVersionInfo",le="1"} 0
response_time_bucket{method="GetVersionInfo",le="2"} 0
response_time_bucket{method="GetVersionInfo",le="3"} 0
response_time_bucket{method="GetVersionInfo",le="4"} 0
response_time_bucket{method="GetVersionInfo",le="5"} 0
response_time_bucket{method="GetVersionInfo",le="6"} 0
response_time_bucket{method="GetVersionInfo",le="7"} 0
response_time_bucket{method="GetVersionInfo",le="8"} 0
response_time_bucket{method="GetVersionInfo",le="9"} 0
response_time_bucket{method="GetVersionInfo",le="10"} 0
response_time_bucket{method="GetVersionInfo",le="20"} 0
response_time_bucket{method="GetVersionInfo",le="30"} 0
response_time_bucket{method="GetVersionInfo",le="40"} 0
response_time_bucket{method="GetVersionInfo",le="50"} 0
response_time_bucket{method="GetVersionInfo",le="60"} 0
response_time_bucket{method="GetVersionInfo",le="70"} 0
response_time_bucket{method="GetVersionInfo",le="80"} 0
response_time_bucket{method="GetVersionInfo",le="90"} 0
response_time_bucket{method="GetVersionInfo",le="100"} 0
response_time_bucket{method="GetVersionInfo",le="200"} 0
response_time_bucket{method="GetVersionInfo",le="300"} 0
response_time_bucket{method="GetVersionInfo",le="400"} 0
response_time_bucket{method="GetVersionInfo",le="500"} 0
response_time_bucket{method="GetVersionInfo",le="600"} 0
response_time_bucket{method="GetVersionInfo",le="700"} 0
response_time_bucket{method="GetVersionInfo",le="800"} 0
response_time_bucket{method="GetVersionInfo",le="900"} 0
response_time_bucket{method="GetVersionInfo",le="1000"} 0
response_time_bucket{method="GetVersionInfo",le="1500"} 734
response_time_bucket{method="GetVersionInfo",le="2000"} 835
response_time_bucket{method="GetVersionInfo",le="2500"} 843
response_time_bucket{method="GetVersionInfo",le="3000"} 860
response_time_bucket{method="GetVersionInfo",le="3500"} 860
response_time_bucket{method="GetVersionInfo",le="4000"} 860
response_time_bucket{method="GetVersionInfo",le="4500"} 860
response_time_bucket{method="GetVersionInfo",le="5000"} 861
response_time_bucket{method="GetVersionInfo",le="5500"} 861
response_time_bucket{method="GetVersionInfo",le="6000"} 861
response_time_bucket{method="GetVersionInfo",le="6500"} 861
response_time_bucket{method="GetVersionInfo",le="7000"} 861
response_time_bucket{method="GetVersionInfo",le="7500"} 861
response_time_bucket{method="GetVersionInfo",le="8000"} 861
response_time_bucket{method="GetVersionInfo",le="8500"} 861
response_time_bucket{method="GetVersionInfo",le="9000"} 861
response_time_bucket{method="GetVersionInfo",le="9500"} 861
response_time_bucket{method="GetVersionInfo",le="10000"} 861
response_time_bucket{method="GetVersionInfo",le="15000"} 861
response_time_bucket{method="GetVersionInfo",le="30000"} 861
response_time_bucket{method="GetVersionInfo",le="+Inf"} 861
response_time_sum{method="GetCdaDocuments"} 3558000.5342
response_time_count{method="GetCdaDocuments"} 455
response_time_bucket{method="GetCdaDocuments",le="1"} 0
response_time_bucket{method="GetCdaDocuments",le="2"} 0
response_time_bucket{method="GetCdaDocuments",le="3"} 0
response_time_bucket{method="GetCdaDocuments",le="4"} 0
response_time_bucket{method="GetCdaDocuments",le="5"} 0
response_time_bucket{method="GetCdaDocuments",le="6"} 0
response_time_bucket{method="GetCdaDocuments",le="7"} 0
response_time_bucket{method="GetCdaDocuments",le="8"} 0
response_time_bucket{method="GetCdaDocuments",le="9"} 0
response_time_bucket{method="GetCdaDocuments",le="10"} 0
response_time_bucket{method="GetCdaDocuments",le="20"} 0
response_time_bucket{method="GetCdaDocuments",le="30"} 0
response_time_bucket{method="GetCdaDocuments",le="40"} 0
response_time_bucket{method="GetCdaDocuments",le="50"} 0
response_time_bucket{method="GetCdaDocuments",le="60"} 0
response_time_bucket{method="GetCdaDocuments",le="70"} 0
response_time_bucket{method="GetCdaDocuments",le="80"} 0
response_time_bucket{method="GetCdaDocuments",le="90"} 0
response_time_bucket{method="GetCdaDocuments",le="100"} 0
response_time_bucket{method="GetCdaDocuments",le="200"} 0
response_time_bucket{method="GetCdaDocuments",le="300"} 0
response_time_bucket{method="GetCdaDocuments",le="400"} 0
